analyse,nb_variables_actives,inertie_dim1,inertie_dim2,inertie_cumulee_dim1_dim2,inertie_cumulee_5_axes,interpretation_dim1,interpretation_dim2,usage_recommande
globale,22,14.640113187730552,7.172210376336734,21.812323564067285,34.68170150776098,"Variables les plus contributives : curricular_units_1st_sem_approved, curricular_units_2nd_sem_approved, curricular_units_2nd_sem_enrolled, curricular_units_1st_sem_enrolled, curricular_units_2nd_sem_grade","Variables les plus contributives : age_at_enrollment, previous_qualification, displaced, tuition_fees_up_to_date, curricular_units_1st_sem_evaluations","Analyse principale des profils etudiants avec informations individuelles, administratives et academiques des deux semestres."
precoce,17,9.182708884917902,7.415479872232241,16.598188757150144,29.979258943917984,"Variables les plus contributives : curricular_units_1st_sem_approved, curricular_units_1st_sem_enrolled, curricular_units_1st_sem_grade, curricular_units_1st_sem_evaluations, tuition_fees_up_to_date","Variables les plus contributives : age_at_enrollment, previous_qualification, displaced, daytime_evening_attendance, curricular_units_1st_sem_evaluations","Analyse des profils avec les informations disponibles plus tot dans le parcours, sans variables du second semestre."
