cluster,effectif,silhouette_moyenne,silhouette_min,silhouette_q1,silhouette_mediane,silhouette_q3,silhouette_max,niveau_stabilite
1,3188,0.5279504443516515,0.029369285425307163,0.467193178359042,0.5731809185922505,0.6262388448833742,0.6889805310063791,correct
2,300,0.28098207696463473,-0.14250162905054742,0.14252572510339118,0.32449310970209894,0.44349875137074424,0.518897131959245,modere
3,936,0.2873934854442034,-0.14313017592086885,0.19815443927715887,0.34521519237669085,0.404905346660085,0.4980978921252355,modere
