axe,eigenvalue,variance.percent,cumulative.variance.percent
Dim.1,2.3990897361482766,21.809906692257115,21.809906692257115
Dim.2,1.7548022376894434,15.952747615358614,37.76265430761573
Dim.3,1.4816613046749152,13.469648224317442,51.23230253193317
Dim.4,1.2538733650070504,11.398848772791395,62.63115130472457
Dim.5,1.0283063275370206,9.348239341245664,71.97939064597023
Dim.6,0.8236938967108048,7.488126333734607,79.46751697970484
Dim.7,0.5839605973979229,5.308732703617494,84.77624968332233
Dim.8,0.5260103149322091,4.7819119539291846,89.55816163725152
Dim.9,0.4668004209777112,4.243640190706476,93.80180182795799
Dim.10,0.3968741432403596,3.6079467567305503,97.40974858468854
