variable,Dim.1,Dim.2
curricular_units_1st_sem_approved,28.3146161091425,0.2436415265899793
curricular_units_1st_sem_enrolled,21.1143025363365,6.352406003076867
curricular_units_1st_sem_grade,20.211972255323545,0.5108635641234361
curricular_units_1st_sem_evaluations,16.189021119361655,7.514007913389814
tuition_fees_up_to_date,4.108795467005304,5.413351288527597
previous_qualification,3.0205730056382545,15.178074176883644
gender,2.6312794865040123,2.1196081126085238
scholarship_holder,1.3276599752779719,5.191374444638566
debtor,1.239328063567403,3.438116890185346
age_at_enrollment,0.6191547275226434,25.686263625993604
displaced,0.28637577417354915,11.467211544931352
admission_grade,0.25578349439708253,1.3748559888871188
curricular_units_1st_sem_without_evaluations,0.23072810064363522,1.588657530242838
previous_qualification_grade,0.22661099277981428,2.6667884475084507
daytime_evening_attendance,0.19719774465598344,11.01526801107357
educational_special_needs,0.0263346547511066,0.23918103185799383
international,2.6649291894123903e-4,3.298994812515967e-4
