variable,Dim.1,Dim.2
curricular_units_1st_sem_approved,15.559297139004224,0.17459388898172723
curricular_units_2nd_sem_approved,14.664784228084624,1.0384247262784732
curricular_units_2nd_sem_enrolled,12.62077221039141,2.8520976974141
curricular_units_1st_sem_enrolled,12.525286720249678,4.338525179203045
curricular_units_2nd_sem_grade,10.705162966676584,3.7096058643915977
curricular_units_1st_sem_grade,10.699777476995454,2.727327851532312
curricular_units_2nd_sem_evaluations,9.835069415682064,3.021732538545756
curricular_units_1st_sem_evaluations,9.24381818010551,6.159052480305731
tuition_fees_up_to_date,1.3639606373847084,6.659110061653919
previous_qualification,0.9333370378386433,11.546892908224406
gender,0.9018931842824687,2.5709382349909404
scholarship_holder,0.3956416419337384,5.396530246050123
debtor,0.28851663299298524,3.725258163916781
curricular_units_1st_sem_without_evaluations,0.10388853605637462,4.521577903203938
age_at_enrollment,0.06063694762768394,18.73284424478914
admission_grade,0.0249527177315354,1.6288106216028264
daytime_evening_attendance,0.02133544193440205,6.10486871764683
displaced,0.01988330453748763,7.715509906129165
educational_special_needs,0.013432457988181348,0.13433253575360904
previous_qualification_grade,0.011914386379477566,2.5068930676473147
curricular_units_2nd_sem_without_evaluations,0.00638615081708147,4.7350731589686115
international,2.52585305496605e-4,2.7692489436299745e-9
