cluster_kmeans,nom_profil,effectif,proportion_dropout,proportion_enrolled,proportion_graduate,interpretation_synthetique,niveau_risque
1,Profil majoritaire favorable,3188,0.18130489335006272,0.2107904642409034,0.6079046424090339,Dropout: 18.1%; Graduate: 60.8%; indicateurs academiques proches de la moyenne des clusters; Target utilisee uniquement apres clustering pour interpreter ce profil.,Faible
2,Profil adulte/atypique plutôt favorable,300,0.24333333333333335,0.13,0.6266666666666667,Dropout: 24.3%; Graduate: 62.7%; indicateurs academiques au-dessus de la moyenne des clusters; Target utilisee uniquement apres clustering pour interpreter ce profil.,Faible à modéré
3,Profil à risque élevé de décrochage,936,0.8226495726495726,0.08867521367521368,0.08867521367521368,Dropout: 82.3%; Graduate: 8.9%; indicateurs academiques en dessous de la moyenne des clusters; Target utilisee uniquement apres clustering pour interpreter ce profil.,Très élevé
