modele,type_modele,nb_variables,accuracy,precision_dropout,recall_dropout,f1_dropout,specificity_non_dropout,auc,cv_accuracy_moyenne,cv_auc_moyenne,cv_f1_dropout_moyen,seuil_prediction,jeu_evaluation
precoce,variables d'entree + semestre 1,12,0.8487584650112867,0.7937743190661478,0.7157894736842105,0.7527675276752768,0.9118136439267887,0.8842105263157894,0.8417698187488816,0.8756801622538899,0.7329430007490363,0.5,test
complet,variables d'entree + semestre 1 + semestre 2,15,0.8645598194130926,0.8160919540229885,0.7473684210526316,0.7802197802197802,0.9201331114808652,0.9087544151560265,0.8582703172533681,0.8994265406844332,0.7635205404581487,0.5,test
