modele,interpretation,term,odds_ratio,std.error,statistic,p.value,ic_bas,ic_haut
precoce,Constante du modele.,(Intercept),8.133792886657965,0.6383142090139948,3.2836921298219677,0.0010245678086869992,2.339942369982442,28.603052669325837
precoce,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,age_at_enrollment,1.0551083908249173,0.007364246606583006,7.28431632382837,3.233056214454611e-13,1.0400315772889983,1.0705209376164035
precoce,Variable associee a une probabilite plus faible de Dropout dans ce modele.,admission_grade,0.9916921483337086,0.003988416054833616,-2.091696073643025,0.03646571197232201,0.9839455682558161,0.9994564896872976
precoce,Association non nette au seuil 5% dans ce modele.,previous_qualification_grade,1.0033302214573214,0.004456280971030107,0.7460679817823455,0.4556263496733508,0.9946030479695874,1.0121369569639715
precoce,Association non nette au seuil 5% dans ce modele.,daytime_evening_attendance1,1.0796740816779833,0.16612256137476072,0.4614618191173524,0.6444673082005371,0.7807715311962056,1.4978747463976152
precoce,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,debtorOui,1.8413891495133332,0.1601788849421047,3.811490257000671,1.3813150104289337e-4,1.3435945266277276,2.518526571766924
precoce,Variable associee a une probabilite plus faible de Dropout dans ce modele.,tuition_fees_up_to_dateOui,0.1002898302356456,0.17600143452135067,-13.066319538089287,5.128752177489574e-39,0.07053358850594775,0.14072142802895513
precoce,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,genderHomme,1.583893481982745,0.09934809367482189,4.629037436927101,3.673693561722111e-6,1.3033188464410657,1.9241477696380282
precoce,Variable associee a une probabilite plus faible de Dropout dans ce modele.,scholarship_holderOui,0.43276423255400637,0.13434150441957493,-6.2345750887396125,4.530059999684256e-10,0.33126435455244363,0.5611279787059836
precoce,Association non nette au seuil 5% dans ce modele.,displacedOui,1.1868716629000762,0.10577581614372694,1.619661252988453,0.1053050638508699,0.9653715659129338,1.4616319695308935
precoce,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,curricular_units_1st_sem_evaluations,1.111298012959728,0.013882106295351115,7.601779652913757,2.920857656818606e-14,1.081460818226613,1.141965339786053
precoce,Variable associee a une probabilite plus faible de Dropout dans ce modele.,curricular_units_1st_sem_approved,0.7116675335960656,0.026456201942692884,-12.856887944735277,7.868110372297147e-38,0.6750607832738006,0.7488589209731845
precoce,Variable associee a une probabilite plus faible de Dropout dans ce modele.,curricular_units_1st_sem_grade,0.895501689483668,0.015288671343996913,-7.2191473256585885,5.231455522834868e-13,0.869114004190696,0.9228236032328863
