variable,Dim.1,Dim.2
curricular_units_1st_sem_grade,27.976716490618315,2.9544796257628008
curricular_units_1st_sem_approved,27.745543141195526,6.437651066213506
tuition_fees_up_to_date,10.949632144008648,2.2264348180276325
curricular_units_1st_sem_evaluations,9.7116861766759,21.265421115291357
gender,5.4046589929595426,0.4906245563200794
scholarship_holder,4.919234989737683,3.8168589972159257
age_at_enrollment,4.521939013795335,18.637546106429106
debtor,4.279649743309555,2.158016790197563
previous_qualification_grade,1.707309781118013,17.47317429039942
daytime_evening_attendance,1.47123805399188,11.354613576481178
admission_grade,1.3123914725896366,13.185179057661442
